iter	Passed	Remaining
657	1184	615
658	1185	613
659	1187	611
660	1188	609
661	1190	607
662	1191	605
663	1193	603
664	1194	601
665	1196	599
666	1197	597
667	1198	595
668	1200	593
669	1201	591
670	1203	590
671	1204	588
672	1206	586
673	1207	584
674	1209	582
675	1210	580
676	1212	578
677	1213	576
678	1215	574
679	1216	572
680	1218	570
681	1219	568
682	1221	566
683	1222	564
684	1224	562
685	1225	560
686	1227	559
687	1228	557
688	1230	555
689	1231	553
690	1232	551
691	1234	549
692	1235	547
693	1237	545
694	1238	543
695	1240	541
696	1241	539
697	1243	537
698	1244	535
699	1246	534
700	1247	532
701	1249	530
702	1250	528
703	1252	526
704	1253	524
705	1255	522
706	1256	520
707	1258	518
708	1259	517
709	1261	515
710	1262	513
711	1264	511
712	1265	509
713	1267	507
714	1268	505
715	1270	503
716	1271	501
717	1273	500
718	1274	498
719	1276	496
720	1277	494
721	1279	492
722	1280	490
723	1282	488
724	1283	486
725	1285	484
726	1286	483
727	1288	481
728	1289	479
729	1290	477
730	1292	475
731	1293	473
732	1295	471
733	1296	469
734	1298	468
735	1299	466
736	1301	464
737	1303	462
738	1305	461
739	1307	459
740	1309	457
741	1312	456
742	1314	454
743	1315	452
744	1317	451
745	1319	449
746	1320	447
747	1322	445
748	1324	443
749	1327	442
750	1328	440
751	1330	438
752	1332	436
753	1333	435
754	1335	433
755	1336	431
756	1339	429
757	1340	428
758	1343	426
759	1345	424
760	1346	422
761	1348	421
762	1349	419
763	1351	417
764	1353	415
765	1357	414
766	1361	413
767	1365	412
768	1367	410
769	1369	409
770	1370	407
771	1372	405
772	1374	403
773	1375	401
774	1378	400
775	1380	398
776	1381	396
777	1383	394
778	1386	393
779	1387	391
780	1389	389
781	1390	387
782	1392	385
783	1393	384
784	1396	382
785	1398	380
786	1400	378
787	1402	377
788	1404	375
789	1406	373
790	1407	371
791	1409	370
792	1411	368
793	1412	366
794	1414	364
795	1415	362
796	1417	361
797	1419	359
798	1420	357
799	1422	355
800	1423	353
801	1425	351
802	1426	349
803	1428	348
804	1429	346
805	1431	344
806	1433	342
807	1434	340
808	1435	339
809	1437	337
810	1439	335
811	1440	333
812	1442	331
813	1444	330
814	1445	328
815	1447	326
816	1448	324
817	1450	322
818	1451	320
819	1453	319
820	1454	317
821	1456	315
822	1458	313
823	1459	311
824	1461	309
825	1462	308
826	1463	306
827	1465	304
828	1467	302
829	1468	300
830	1470	298
831	1472	297
832	1473	295
833	1474	293
834	1476	291
835	1477	289
836	1479	288
837	1480	286
838	1482	284
839	1483	282
840	1485	280
841	1486	278
842	1488	277
843	1489	275
844	1491	273
845	1492	271
846	1494	269
847	1495	268
848	1496	266
849	1498	264
850	1499	262
851	1501	260
852	1502	258
853	1504	257
854	1505	255
855	1506	253
856	1508	251
857	1509	249
858	1511	248
859	1512	246
860	1514	244
861	1515	242
862	1517	240
863	1518	239
864	1520	237
865	1521	235
866	1522	233
867	1524	231
868	1525	230
869	1527	228
870	1529	226
871	1530	224
872	1531	222
873	1533	221
874	1534	219
875	1536	217
876	1537	215
877	1539	213
878	1540	212
879	1541	210
880	1543	208
881	1544	206
882	1546	204
883	1547	203
884	1549	201
885	1550	199
886	1551	197
887	1553	195
888	1554	194
889	1556	192
890	1557	190
891	1559	188
892	1560	187
893	1562	185
894	1563	183
895	1565	181
896	1566	179
897	1568	178
898	1569	176
899	1571	174
900	1572	172
901	1574	171
902	1575	169
903	1577	167
904	1578	165
905	1580	163
906	1581	162
907	1583	160
908	1584	158
909	1586	156
910	1587	155
911	1589	153
912	1590	151
913	1592	149
914	1593	148
915	1595	146
916	1596	144
917	1597	142
918	1599	140
919	1600	139
920	1602	137
921	1603	135
922	1605	133
923	1606	132
924	1608	130
925	1609	128
926	1611	126
927	1612	125
928	1614	123
929	1615	121
930	1617	119
931	1618	118
932	1619	116
933	1621	114
934	1622	112
935	1624	111
936	1626	109
937	1627	107
938	1629	105
939	1630	104
940	1631	102
941	1633	100
942	1634	98
943	1636	97
944	1637	95
945	1639	93
946	1640	91
947	1642	90
948	1643	88
949	1645	86
950	1646	84
951	1648	83
952	1649	81
953	1650	79
954	1652	77
955	1653	76
956	1655	74
957	1656	72
958	1658	70
959	1659	69
960	1661	67
961	1662	65
962	1663	63
963	1665	62
964	1666	60
965	1668	58
966	1669	56
967	1671	55
968	1672	53
969	1674	51
970	1675	50
971	1676	48
972	1678	46
973	1679	44
974	1681	43
975	1682	41
976	1684	39
977	1685	37
978	1686	36
979	1688	34
980	1690	32
981	1691	31
982	1692	29
983	1694	27
984	1696	25
985	1697	24
986	1698	22
987	1700	20
988	1701	18
989	1703	17
990	1704	15
991	1706	13
992	1707	12
993	1709	10
994	1710	8
995	1712	6
996	1713	5
997	1715	3
998	1716	1
999	1717	0
